yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB3CW	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A090I8L6	A0A090I8L6	DSM1535_1230	Replication factor-A domain-containing protein				Complete proteome	Predicted	nucleic acid binding [GO:0003676]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR012340;IPR004365;IPR013955;	mfi:DSM1535_1230;	K07466;	PF08646;PF01336;		WP_048072764.1;		Methanobacterium formicicum	2162
A0A090I1H9	A0A090I1H9	rps4e BRM9_0394 DSM1535_0321 MB9_1430	30S ribosomal protein S4e				Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Eukaryotic ribosomal protein eS4 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd06087;cd00165;			IPR041982;IPR014722;IPR000876;IPR013845;IPR038237;IPR013843;IPR018199;IPR002942;	mfc:BRM9_0394;mfi:DSM1535_0321;	K02987;	PF00900;PF08071;PF01479;		WP_048071994.1;		Methanobacterium formicicum	2162
A0A090I308	A0A090I308	DSM1535_1191	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004426;IPR019151;IPR038389;	mfi:DSM1535_1191;	K07159;	PF09754;		WP_048072728.1;		Methanobacterium formicicum	2162
A0A090I3T1	A0A090I3T1	fusA BRM9_2065 DSM1535_1621 MB9_0271	Elongation factor 2 (EF-2)		FUNCTION: Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome. {ECO:0000256|HAMAP-Rule:MF_00054, ECO:0000256|SAAS:SAAS00384500}.		Coiled coil;Complete proteome;Cytoplasm;Elongation factor;GTP-binding;Nucleotide-binding;Protein biosynthesis	Inferred from homology	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-G/EF-2 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR041095;IPR035647;IPR000640;IPR004161;IPR031157;IPR027417;IPR020568;IPR014721;IPR005225;IPR000795;IPR009000;IPR004543;IPR005517;	mfc:BRM9_2065;mfi:DSM1535_1621;	K03234;	PF00679;PF14492;PF03764;PF00009;PF03144;				Methanobacterium formicicum	2162
A0A090I6T8	A0A090I6T8	BRM9_2138 DSM1535_1542	Histidine kinase/response regulator hybrid protein (Signal transduction histidine kinase)				Coiled coil;Complete proteome;Kinase;Phosphoprotein;Transferase	Predicted	kinase activity [GO:0016301]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00075;cd00130;cd00156;			IPR011006;IPR003594;IPR036890;IPR000014;IPR000700;IPR035965;IPR013767;IPR011495;IPR001789;	mfc:BRM9_2138;mfi:DSM1535_1542;		PF02518;PF07568;PF00989;PF00072;		WP_048073014.1;		Methanobacterium formicicum	2162
A0A089ZVR9	A0A089ZVR9	BRM9_2112 DSM1535_1568 MB9_0218	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_2112;mfi:DSM1535_1568;				WP_048073036.1;		Methanobacterium formicicum	2162
A0A090I1C7	A0A090I1C7	DSM1535_0245	Oxidoreductase domain-containing protein				Complete proteome	Predicted	oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001451;IPR036291;IPR000683;IPR011004;	mfi:DSM1535_0245;		PF01408;PF00132;PF14602;				Methanobacterium formicicum	2162
A0A090I7T4	A0A090I7T4	ppsA1 DSM1535_0869	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)	2.7.9.2	FUNCTION: Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate. {ECO:0000256|PIRNR:PIRNR000854}.	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000256|PIRNR:PIRNR000854}.	ATP-binding;Complete proteome;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Pyruvate;Transferase	Inferred from homology	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyruvate, water dikinase activity [GO:0008986]; gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]	PEP-utilizing enzyme family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013815;IPR008279;IPR006319;IPR018274;IPR000121;IPR023151;IPR036637;IPR002192;IPR015813;IPR040442;	mfi:DSM1535_0869;	K01007;	PF00391;PF02896;PF01326;		WP_048072460.1;	UPA00138	Methanobacterium formicicum	2162
A0A090I1N1	A0A090I1N1	paaK1 ftsA2 paaK3 BRM9_0536 DSM1535_0517 MB9_1574	Coenzyme F390 synthetase FtsA2 (Phenylacetate-coenzyme A ligase) (EC 6.2.1.30)	6.2.1.30			Complete proteome;Ligase	Predicted	phenylacetate-CoA ligase activity [GO:0047475]; phenylacetate catabolic process [GO:0010124]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR028154;IPR000873;IPR042099;IPR011880;	mfc:BRM9_0536;mfi:DSM1535_0517;	K01912;	PF00501;PF14535;		WP_048072159.1;		Methanobacterium formicicum	2162
A0A089ZFY2	A0A089ZFY2	BRM9_2262 DSM1535_1196 MB9_2300	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_2262;mfi:DSM1535_1196;	K09723;			WP_048072732.1;		Methanobacterium formicicum	2162
A0A090I3Y5	A0A090I3Y5	DSM1535_1682	Flavodoxin				Complete proteome	Predicted	FMN binding [GO:0010181]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008254;IPR029039;	mfi:DSM1535_1682;		PF12682;		WP_048073126.1;		Methanobacterium formicicum	2162
A0A090I495	A0A090I495	DSM1535_1843	Restriction endonuclease				Coiled coil;Complete proteome;Endonuclease;Hydrolase;Nuclease	Predicted	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR006935;IPR027417;	mfi:DSM1535_1843;	K01156;	PF04851;		WP_048073250.1;		Methanobacterium formicicum	2162
A0A090I810	A0A090I810	pyrD DSM1535_0984 MB9_2069	Dihydroorotate dehydrogenase (DHOD) (DHODase) (DHOdehase) (EC 1.3.-.-)	1.3.-.-	FUNCTION: Catalyzes the conversion of dihydroorotate to orotate. {ECO:0000256|HAMAP-Rule:MF_00224}.	PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway. {ECO:0000256|HAMAP-Rule:MF_00224}.	Complete proteome;Cytoplasm;FMN;Flavoprotein;Oxidoreductase;Pyrimidine biosynthesis	Inferred from homology	cytoplasm [GO:0005737]; dihydroorotate dehydrogenase activity [GO:0004152]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	Dihydroorotate dehydrogenase family, Type 1 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd04740;			IPR013785;IPR033888;IPR023359;IPR005720;IPR024920;IPR012135;IPR001295;	mfi:DSM1535_0984;	K17828;	PF01180;		WP_048072556.1;	UPA00070	Methanobacterium formicicum	2162
A0A090I360	A0A090I360	fprA3 BRM9_2322 DSM1535_1256 MB9_2360	F420H2 oxidase FprA (Type A flavoprotein FprA) (EC 1.-.-.-)	1.-.-.-			Complete proteome;Oxidoreductase	Predicted	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008254;IPR029039;IPR001279;IPR036866;IPR016440;	mfc:BRM9_2322;mfi:DSM1535_1256;	K19817;	PF00258;PF00753;		WP_048072789.1;		Methanobacterium formicicum	2162
A0A090I5S9	A0A090I5S9	alaS DSM1535_0001	Alanine--tRNA ligase (EC 6.1.1.7)	6.1.1.7			ATP-binding;Aminoacyl-tRNA synthetase;Complete proteome;Cytoplasm;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;RNA-binding;Zinc;tRNA-binding	Inferred from homology	cytoplasm [GO:0005737]; alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tRNA binding [GO:0000049]; alanyl-tRNA aminoacylation [GO:0006419]	Class-II aminoacyl-tRNA synthetase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002318;IPR018162;IPR018165;IPR018164;IPR022429;IPR003156;IPR018163;IPR009000;IPR012947;	mfi:DSM1535_0001;	K01872;	PF02272;PF01411;PF07973;				Methanobacterium formicicum	2162
A0A090I4A5	A0A090I4A5	DSM1535_0175	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_0175;				WP_048071870.1;		Methanobacterium formicicum	2162
A0A090I921	A0A090I921	truD DSM1535_1454 MB9_0095	Probable tRNA pseudouridine synthase D (EC 5.4.99.27) (tRNA pseudouridine(13) synthase) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D)	5.4.99.27	FUNCTION: Could be responsible for synthesis of pseudouridine from uracil-13 in transfer RNAs. {ECO:0000256|HAMAP-Rule:MF_01082}.		Complete proteome;Isomerase;tRNA processing	Inferred from homology	RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]; tRNA pseudouridine synthesis [GO:0031119]	Pseudouridine synthase TruD family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR020103;IPR001656;IPR020119;IPR011760;IPR042214;	mfi:DSM1535_1454;	K06176;	PF01142;		WP_048072959.1;		Methanobacterium formicicum	2162
A0A090I8K7	A0A090I8K7	DSM1535_2346	Cobalamin biosynthesis protein CobN				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; biosynthetic process [GO:0009058]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003672;	mfi:DSM1535_2346;	K02230;	PF02514;		WP_048073663.1;		Methanobacterium formicicum	2162
A0A090I6W9	A0A090I6W9	DSM1535_1588	Cell shape determining protein MreB/Mrl				Complete proteome	Predicted	cell morphogenesis [GO:0000902]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd10225;			IPR004753;	mfi:DSM1535_1588;	K03569;	PF06723;		WP_048073053.1;		Methanobacterium formicicum	2162
A0A090I9S3	A0A090I9S3	DSM1535_1787	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002477;IPR036365;IPR036366;	mfi:DSM1535_1787;	K01449;	PF01471;		WP_048073210.1;		Methanobacterium formicicum	2162
A0A090I564	A0A090I564	cshA BRM9_1770 DSM1535_2410 MB9_0587	DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13) (DEAD/DEAH box helicase domain-containing protein)	3.6.4.13			ATP-binding;Complete proteome;Helicase;Hydrolase;Nucleotide-binding	Inferred from homology	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	DEAD box helicase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00079;			IPR005580;IPR011545;IPR014001;IPR001650;IPR012677;IPR027417;IPR000629;IPR014014;	mfc:BRM9_1770;mfi:DSM1535_2410;	K05592;	PF03880;PF00270;PF00271;		WP_048073710.1;		Methanobacterium formicicum	2162
A0A090I3L1	A0A090I3L1	acsA3 acsA1 BRM9_0010 DSM1535_1328	Acetyl-CoA synthetase AcsA1 (Acetyl-coenzyme A synthetase) (EC 6.2.1.1)	6.2.1.1			Complete proteome;Ligase	Predicted	acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; acetyl-CoA biosynthetic process from acetate [GO:0019427]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd05966;			IPR011904;IPR032387;IPR025110;IPR020845;IPR000873;IPR042099;	mfc:BRM9_0010;mfi:DSM1535_1328;	K01895;	PF16177;PF00501;PF13193;		WP_048072851.1;		Methanobacterium formicicum	2162
A0A089ZED6	A0A089ZED6	rpl19e BRM9_0388 DSM1535_0316 MB9_1425	50S ribosomal protein L19e		FUNCTION: Binds to the 23S rRNA. {ECO:0000256|HAMAP-Rule:MF_01475}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Eukaryotic ribosomal protein eL19 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01418;			IPR035970;IPR000196;IPR023638;IPR015972;IPR033936;IPR039547;	mfc:BRM9_0388;mfi:DSM1535_0316;	K02885;	PF01280;		WP_048071990.1;		Methanobacterium formicicum	2162
A0A089ZC90	A0A089ZC90	ahaD atpD BRM9_0840 DSM1535_0802 MB9_1892	V-type ATP synthase subunit D (V-ATPase subunit D)		FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. {ECO:0000256|HAMAP-Rule:MF_00271}.		ATP synthesis;Coiled coil;Complete proteome;Hydrogen ion transport;Ion transport;Transport	Inferred from homology	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]	V-ATPase D subunit family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002699;	mfc:BRM9_0840;mfi:DSM1535_0802;	K02120;	PF01813;		WP_048072404.1;		Methanobacterium formicicum	2162
A0A090JTE0	A0A090JTE0	rpl6p rpl6 BRM9_0390 DSM1535_0318 MB9_1427	50S ribosomal protein L6		FUNCTION: This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7/L12 stalk, and near the tRNA binding site of the peptidyltransferase center. {ECO:0000256|HAMAP-Rule:MF_01365}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uL6 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000702;IPR020040;IPR036789;IPR002359;IPR019907;	mfc:BRM9_0390;mfi:DSM1535_0318;	K02933;	PF00347;		WP_048071991.1;		Methanobacterium formicicum	2162
A0A090I5W3	A0A090I5W3	rps3ae BRM9_1852 DSM1535_0036 MB9_0504	30S ribosomal protein S3Ae (Ribosomal protein S1e)				Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Eukaryotic ribosomal protein eS1 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR030838;IPR001593;	mfc:BRM9_1852;mfi:DSM1535_0036;	K02984;	PF01015;		WP_048071757.1;		Methanobacterium formicicum	2162
A0A090I2L4	A0A090I2L4	DSM1535_0780	Uncharacterized protein				Complete proteome;RNA-binding;tRNA-binding	Predicted	tRNA binding [GO:0000049]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR041169;IPR012340;IPR002547;	mfi:DSM1535_0780;		PF18489;PF01588;		WP_048072384.1;		Methanobacterium formicicum	2162
A0A089Z9Y9	A0A089Z9Y9	gspE BRM9_0803 DSM1535_0765 MB9_1856	Type II secretion system protein E GspE (Type ii secretion system protein E)				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR027417;IPR001482;	mfc:BRM9_0803;mfi:DSM1535_0765;	K07332;	PF00437;				Methanobacterium formicicum	2162
A0A090I8V8	A0A090I8V8	mtd DSM1535_1363	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	1.5.98.1	FUNCTION: Catalyzes the reversible reduction of methenyl-H(4)MPT(+) to methylene-H(4)MPT. {ECO:0000256|HAMAP-Rule:MF_00058}.	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); 5,10-methylene-5,6,7,8-tetrahydromethanopterin from 5,10-methenyl-5,6,7,8-tetrahydromethanopterin (coenzyme F420 route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_00058}.	Complete proteome;Methanogenesis;One-carbon metabolism;Oxidoreductase	Inferred from homology	ferredoxin hydrogenase activity [GO:0008901]; methylenetetrahydromethanopterin dehydrogenase activity [GO:0030268]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	MTD family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002844;IPR036080;	mfi:DSM1535_1363;	K00319;	PF01993;		WP_048072879.1;	UPA00640;UER00695	Methanobacterium formicicum	2162
A0A090JTQ5	A0A090JTQ5	DSM1535_0454	Aminotransferase (EC 2.6.1.-)	2.6.1.-			Aminotransferase;Complete proteome;Transferase	Inferred from homology	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; biosynthetic process [GO:0009058]	Class-I pyridoxal-phosphate-dependent aminotransferase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004839;IPR004838;IPR015424;IPR015422;IPR015421;	mfi:DSM1535_0454;	K00812;	PF00155;		WP_048072109.1;		Methanobacterium formicicum	2162
A0A090I260	A0A090I260	rpl24e BRM9_0601 DSM1535_0583 MB9_1641	50S ribosomal protein L24e		FUNCTION: Binds to the 23S rRNA. {ECO:0000256|HAMAP-Rule:MF_00773}.		Complete proteome;Metal-binding;RNA-binding;Ribonucleoprotein;Ribosomal protein;Zinc;Zinc-finger;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]; translation [GO:0006412]	Eukaryotic ribosomal protein eL24 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00472;			IPR038630;IPR023438;IPR000988;IPR011017;	mfc:BRM9_0601;mfi:DSM1535_0583;	K02896;	PF01246;		WP_048072216.1;		Methanobacterium formicicum	2162
A0A090I6X8	A0A090I6X8	korB BRM9_2083 DSM1535_1598 MB9_0248	2-oxoglutarate ferredoxin oxidoreductase subunit beta KorB (2-oxoglutarate synthase subunit KorB) (EC 1.2.7.3)	1.2.7.3			Complete proteome;Oxidoreductase	Predicted	2-oxoglutarate synthase activity [GO:0047553]; thiamine pyrophosphate binding [GO:0030976]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029061;IPR011766;	mfc:BRM9_2083;mfi:DSM1535_1598;	K00175;	PF02775;		WP_048073063.1;		Methanobacterium formicicum	2162
