yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB33D	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A089ZIP7	A0A089ZIP7	dnaG BRM9_1871 DSM1535_0054 MB9_0486	DNA primase DnaG (EC 2.7.7.-)	2.7.7.-	FUNCTION: RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication. Also part of the exosome, which is a complex involved in RNA degradation. Acts as a poly(A)-binding protein that enhances the interaction between heteropolymeric, adenine-rich transcripts and the exosome. {ECO:0000256|HAMAP-Rule:MF_00007}.		Complete proteome;DNA replication;DNA-directed RNA polymerase;Exosome;Magnesium;Metal-binding;Nucleotidyltransferase;Primosome;Transcription;Transferase	Inferred from homology	exosome (RNase complex) [GO:0000178]; primosome complex [GO:1990077]; DNA primase activity [GO:0003896]; metal ion binding [GO:0046872]; poly(A) binding [GO:0008143]	Archaeal DnaG primase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01029;			IPR020607;IPR034154;IPR006171;	mfc:BRM9_1871;mfi:DSM1535_0054;	K02316;	PF13662;		WP_048071772.1;		Methanobacterium formicicum	2162
A0A090I5T3	A0A090I5T3	mrtG BRM9_2155 DSM1535_1094 MB9_2186	Methyl-coenzyme M reductase subunit gamma (EC 2.8.4.1)	2.8.4.1		PATHWAY: One-carbon metabolism; methyl-coenzyme M reduction; methane from methyl-coenzyme M: step 1/1. {ECO:0000256|PIRNR:PIRNR000264}.	Complete proteome;Methanogenesis;Transferase	Predicted	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR009024;IPR003178;IPR036994;	mfc:BRM9_2155;mfi:DSM1535_1094;	K00402;	PF02240;		WP_048072648.1;	UPA00646;UER00699	Methanobacterium formicicum	2162
A0A090I281	A0A090I281	porA DSM1535_0732	Pyruvate synthase subunit PorA (EC 1.2.7.1)	1.2.7.1			Complete proteome;Oxidoreductase;Pyruvate	Predicted	pyruvate synthase activity [GO:0019164]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR033412;IPR002880;IPR029061;IPR009014;	mfi:DSM1535_0732;	K00169;	PF17147;PF01855;		WP_048072342.1;		Methanobacterium formicicum	2162
A0A090I842	A0A090I842	DSM1535_1036	CBS domain-containing membrane protein				CBS domain;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000644;	mfi:DSM1535_1036;		PF00571;		WP_048073851.1;		Methanobacterium formicicum	2162
A0A090I2P0	A0A090I2P0	BRM9_0268 DSM1535_1037 MB9_2128	CBS domain-containing protein (Putative signal transduction protein with CBS domains)				CBS domain;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000644;	mfc:BRM9_0268;mfi:DSM1535_1037;		PF00571;		WP_048072597.1;		Methanobacterium formicicum	2162
A0A090I7L2	A0A090I7L2	cdhE DSM1535_0758	Acetyl-CoA decarbonylase/synthase complex subunit gamma (ACDS complex subunit gamma) (EC 2.1.1.245) (5-methyltetrahydrosarcinapterin:corrinoid/iron-sulfur protein Co-methyltransferase) (ACDS complex methyltransferase) (Corrinoid/iron-sulfur component large subunit)	2.1.1.245	FUNCTION: Part of a complex that catalyzes the reversible cleavage of acetyl-CoA, allowing autotrophic growth from CO(2). {ECO:0000256|HAMAP-Rule:MF_01136}.		4Fe-4S;Cobalt;Complete proteome;Iron;Iron-sulfur;Metal-binding;Methyltransferase;Transferase	Inferred from homology	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; methyltransferase activity [GO:0008168]; acetyl-CoA catabolic process [GO:0046356]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007202;IPR016041;IPR016218;IPR023427;IPR011005;	mfi:DSM1535_0758;	K00197;	PF03599;PF04060;		WP_048072365.1;		Methanobacterium formicicum	2162
A0A090I5H7	A0A090I5H7	mtrH BRM9_0927 DSM1535_0897 MB9_1981	Tetrahydromethanopterin S-methyltransferase subunit H (EC 2.1.1.86) (Tetrahydromethanopterin S-methyltransferase subunit H MtrH)	2.1.1.86			Complete proteome;Methyltransferase;Transferase	Predicted	tetrahydromethanopterin S-methyltransferase activity [GO:0030269]; one-carbon metabolic process [GO:0006730]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR011005;IPR023467;	mfc:BRM9_0927;mfi:DSM1535_0897;	K00584;	PF02007;		WP_048072484.1;		Methanobacterium formicicum	2162
A0A090JUK8	A0A090JUK8	atpE DSM1535_0797	V-type proton ATPase subunit E (V-ATPase subunit E)		FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. {ECO:0000256|HAMAP-Rule:MF_00311}.		ATP synthesis;Coiled coil;Complete proteome;Hydrogen ion transport;Ion transport;Transport	Inferred from homology	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; ATP hydrolysis coupled proton transport [GO:0015991]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]	V-ATPase E subunit family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR028987;IPR038495;IPR002842;	mfi:DSM1535_0797;	K02121;	PF01991;		WP_048072399.1;		Methanobacterium formicicum	2162
A0A089ZBS9	A0A089ZBS9	BRM9_1452 DSM1535_2143 MB9_0855	Acetyl-CoA acetyltransferase				Complete proteome;Transferase	Predicted	transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002155;IPR016039;IPR020617;IPR020616;	mfc:BRM9_1452;mfi:DSM1535_2143;	K00626;	PF02803;PF00108;		WP_048073492.1;		Methanobacterium formicicum	2162
A0A089ZVL0	A0A089ZVL0	ftsZ BRM9_1811 DSM1535_2453 MB9_0545	Cell division protein FtsZ		FUNCTION: Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity. {ECO:0000256|HAMAP-Rule:MF_00909}.		Cell cycle;Cell division;Complete proteome;Cytoplasm;GTP-binding;Nucleotide-binding;Septation	Inferred from homology	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]	FtsZ family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02201;			IPR000158;IPR020805;IPR024757;IPR008280;IPR018316;IPR037103;IPR036525;IPR003008;	mfc:BRM9_1811;mfi:DSM1535_2453;	K03531;	PF12327;PF00091;		WP_048073746.1;		Methanobacterium formicicum	2162
A0A090I210	A0A090I210	DSM1535_0647	Putative aminotransferase MJ0959 (EC 2.6.1.-)	2.6.1.-			Aminotransferase;Complete proteome;Transferase	Predicted	transaminase activity [GO:0008483]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000192;IPR015424;IPR015422;IPR015421;IPR024169;	mfi:DSM1535_0647;		PF00266;		WP_048072274.1;		Methanobacterium formicicum	2162
A0A089ZHH5	A0A089ZHH5	serB BRM9_1981 MB9_0375	Phosphoserine phosphatase SerB (EC 3.1.3.3)	3.1.3.3			Coiled coil;Complete proteome;Hydrolase	Predicted	phosphoserine phosphatase activity [GO:0004647]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR036412;IPR023214;	mfc:BRM9_1981;	K01079;			WP_048085646.1;		Methanobacterium formicicum	2162
A0A089ZEV2	A0A089ZEV2	BRM9_1799 DSM1535_2440 MB9_0557	CBS domain-containing protein (Signal transduction protein with CBS domains)				CBS domain;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000644;	mfc:BRM9_1799;mfi:DSM1535_2440;		PF00571;		WP_048073734.1;		Methanobacterium formicicum	2162
A0A090I2C6	A0A090I2C6	atwA1 BRM9_0862 DSM1535_0825 MB9_1916	Methyl-coenzyme M reductase component A2 AtwA1 (Putative ABC transporter ATP-binding protein MJ1242)				ATP-binding;Complete proteome;Nucleotide-binding	Predicted	ATP binding [GO:0005524]; ATPase activity [GO:0016887]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR003439;IPR017871;IPR017669;IPR027417;	mfc:BRM9_0862;mfi:DSM1535_0825;	K00400;	PF00005;		WP_048072418.1;		Methanobacterium formicicum	2162
A0A090I2W9	A0A090I2W9	psmB BRM9_0346 DSM1535_0951 MB9_2037	Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PsmB)	3.4.25.1	FUNCTION: Component of the proteasome core, a large protease complex with broad specificity involved in protein degradation. {ECO:0000256|HAMAP-Rule:MF_02113, ECO:0000256|SAAS:SAAS01167982}.		Autocatalytic cleavage;Complete proteome;Cytoplasm;Hydrolase;Protease;Proteasome;Threonine protease;Zymogen	Inferred from homology	cytoplasm [GO:0005737]; proteasome core complex, beta-subunit complex [GO:0019774]; threonine-type endopeptidase activity [GO:0004298]; proteasomal protein catabolic process [GO:0010498]	Peptidase T1B family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd03764;			IPR029055;IPR019983;IPR000243;IPR016050;IPR001353;IPR023333;	mfc:BRM9_0346;mfi:DSM1535_0951;	K03433;	PF00227;		WP_048072534.1;		Methanobacterium formicicum	2162
A0A089ZUL5	A0A089ZUL5	trpB2 trpB BRM9_0061 MB9_0022	Tryptophan synthase beta chain (EC 4.2.1.20)	4.2.1.20	FUNCTION: The beta subunit is responsible for the synthesis of L-tryptophan from indole and L-serine. {ECO:0000256|HAMAP-Rule:MF_00133}.	PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 5/5. {ECO:0000256|HAMAP-Rule:MF_00133}.	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Complete proteome;Lyase;Pyridoxal phosphate;Tryptophan biosynthesis	Inferred from homology	pyridoxal phosphate binding [GO:0030170]; tryptophan synthase activity [GO:0004834]	TrpB family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd06446;			IPR001926;IPR006316;IPR006654;IPR023026;IPR036052;	mfc:BRM9_0061;	K06001;	PF00291;		WP_048084373.1;	UPA00035;UER00044	Methanobacterium formicicum	2162
A0A090IB20	A0A090IB20	psmA BRM9_1739 DSM1535_2378 MB9_0618	Proteasome subunit alpha (EC 3.4.25.1) (20S proteasome alpha subunit) (Proteasome core protein PsmA)	3.4.25.1	FUNCTION: Component of the proteasome core, a large protease complex with broad specificity involved in protein degradation. {ECO:0000256|HAMAP-Rule:MF_00289, ECO:0000256|RuleBase:RU000552}.		Complete proteome;Cytoplasm;Hydrolase;Protease;Proteasome;Threonine protease	Inferred from homology	cytoplasm [GO:0005737]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; proteasomal protein catabolic process [GO:0010498]; ubiquitin-dependent protein catabolic process [GO:0006511]	Peptidase T1A family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd03756;			IPR029055;IPR023332;IPR019982;IPR000426;IPR001353;	mfc:BRM9_1739;mfi:DSM1535_2378;	K03432;	PF00227;PF10584;		WP_048073683.1;		Methanobacterium formicicum	2162
A0A089ZGQ5	A0A089ZGQ5	BRM9_1521	Peptidase U62 family				Complete proteome	Predicted	metallopeptidase activity [GO:0008237]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR025502;IPR002510;IPR035068;IPR036059;	mfc:BRM9_1521;	K03568;	PF01523;		WP_048085329.1;		Methanobacterium formicicum	2162
A0A090I5U4	A0A090I5U4	BRM9_2165 DSM1535_1104 MB9_2196	SPFH domain/Band 7 family protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001107;IPR036013;IPR001972;	mfc:BRM9_2165;mfi:DSM1535_1104;		PF01145;		WP_023992941.1;		Methanobacterium formicicum	2162
A0A090I613	A0A090I613	frhB DSM1535_1181	Coenzyme F420 hydrogenase subunit beta (EC 1.12.98.1)	1.12.98.1			Complete proteome;Oxidoreductase	Predicted	coenzyme F420 hydrogenase activity [GO:0050454]; flavin adenine dinucleotide binding [GO:0050660]; iron-sulfur cluster binding [GO:0051536]; nickel cation binding [GO:0016151]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007516;IPR017679;IPR007525;	mfi:DSM1535_1181;	K00441;	PF04432;PF04422;		WP_048072722.1;		Methanobacterium formicicum	2162
A0A090I4G3	A0A090I4G3	dapL DSM1535_1774	LL-diaminopimelate aminotransferase (DAP-AT) (DAP-aminotransferase) (LL-DAP-aminotransferase) (EC 2.6.1.83)	2.6.1.83	FUNCTION: Involved in the synthesis of meso-diaminopimelate (m-DAP or DL-DAP), required for both lysine and peptidoglycan biosynthesis. Catalyzes the direct conversion of tetrahydrodipicolinate to LL-diaminopimelate. {ECO:0000256|HAMAP-Rule:MF_01642}.	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; LL-2,6-diaminopimelate from (S)-tetrahydrodipicolinate (aminotransferase route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_01642}.	Aminotransferase;Complete proteome;Pyridoxal phosphate;Transferase	Inferred from homology	L,L-diaminopimelate aminotransferase activity [GO:0010285]; pyridoxal phosphate binding [GO:0030170]; lysine biosynthetic process via diaminopimelate, diaminopimelate-aminotransferase pathway [GO:0033362]	Class-I pyridoxal-phosphate-dependent aminotransferase family, LL-diaminopimelate aminotransferase subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004839;IPR019942;IPR015424;IPR015422;IPR015421;	mfi:DSM1535_1774;	K10206;	PF00155;		WP_048073200.1;	UPA00034;UER00466	Methanobacterium formicicum	2162
A0A090I4Q7	A0A090I4Q7	aspS BRM9_1267 DSM1535_1950 MB9_1047	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)	6.1.1.23	FUNCTION: Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps: L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp/Asn). {ECO:0000256|HAMAP-Rule:MF_02075}.		ATP-binding;Aminoacyl-tRNA synthetase;Complete proteome;Cytoplasm;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Protein biosynthesis	Inferred from homology	cytoplasm [GO:0005737]; aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; aspartyl-tRNA aminoacylation [GO:0006422]	Class-II aminoacyl-tRNA synthetase family, Type 2 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004364;IPR006195;IPR004523;IPR002312;IPR012340;IPR004365;	mfc:BRM9_1267;mfi:DSM1535_1950;	K09759;	PF00152;PF01336;		WP_048073335.1;		Methanobacterium formicicum	2162
A0A090JWH2	A0A090JWH2	glmM3 glmM1 glmM2 BRM9_2132 DSM1535_1549 MB9_0199	Phosphoglucosamine mutase GlmM2 (Putative phosphoglucosamine mutase) (EC 5.4.2.10)	5.4.2.10			Complete proteome;Isomerase;Magnesium;Metal-binding	Inferred from homology	magnesium ion binding [GO:0000287]; phosphoglucosamine mutase activity [GO:0008966]; carbohydrate metabolic process [GO:0005975]	Phosphohexose mutase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd03087;			IPR005844;IPR016055;IPR005845;IPR005846;IPR005843;IPR036900;IPR016066;IPR005841;IPR024086;	mfc:BRM9_2132;mfi:DSM1535_1549;	K15778;	PF02878;PF02879;PF02880;PF00408;		WP_048073019.1;		Methanobacterium formicicum	2162
A0A089ZUT3	A0A089ZUT3	rpl3p rpl3 BRM9_0407 DSM1535_0334 MB9_1443	50S ribosomal protein L3		FUNCTION: One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit. {ECO:0000256|HAMAP-Rule:MF_01325, ECO:0000256|SAAS:SAAS00349363}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uL3 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000597;IPR019928;IPR019926;IPR009000;	mfc:BRM9_0407;mfi:DSM1535_0334;	K02906;	PF00297;		WP_048072006.1;		Methanobacterium formicicum	2162
A0A090I5W3	A0A090I5W3	rps3ae BRM9_1852 DSM1535_0036 MB9_0504	30S ribosomal protein S3Ae (Ribosomal protein S1e)				Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Eukaryotic ribosomal protein eS1 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR030838;IPR001593;	mfc:BRM9_1852;mfi:DSM1535_0036;	K02984;	PF01015;		WP_048071757.1;		Methanobacterium formicicum	2162
A0A090I1P7	A0A090I1P7	BRM9_0551 DSM1535_0532	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR035402;IPR035086;IPR027417;IPR011669;	mfc:BRM9_0551;mfi:DSM1535_0532;		PF07755;PF17396;		WP_048072173.1;		Methanobacterium formicicum	2162
A0A090JTE0	A0A090JTE0	rpl6p rpl6 BRM9_0390 DSM1535_0318 MB9_1427	50S ribosomal protein L6		FUNCTION: This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7/L12 stalk, and near the tRNA binding site of the peptidyltransferase center. {ECO:0000256|HAMAP-Rule:MF_01365}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uL6 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000702;IPR020040;IPR036789;IPR002359;IPR019907;	mfc:BRM9_0390;mfi:DSM1535_0318;	K02933;	PF00347;		WP_048071991.1;		Methanobacterium formicicum	2162
A0A089ZAX5	A0A089ZAX5	rps2p rps2 BRM9_0365 DSM1535_0292 MB9_1401	30S ribosomal protein S2				Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uS2 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01425;			IPR001865;IPR023454;IPR018130;IPR005707;IPR023591;	mfc:BRM9_0365;mfi:DSM1535_0292;	K02967;	PF00318;		WP_048071967.1;		Methanobacterium formicicum	2162
A0A090I2I6	A0A090I2I6	gltA2 BRM9_0965 DSM1535_0935 MB9_2019	Archaeal glutamate synthase [NADPH] (EC 1.4.1.13)	1.4.1.13			Amino-acid biosynthesis;Complete proteome;FMN;Flavoprotein;Glutamate biosynthesis;NADP;Oxidoreductase	Inferred from homology	glutamate synthase (NADPH) activity [GO:0004355]; iron-sulfur cluster binding [GO:0051536]; glutamate biosynthetic process [GO:0006537]	Glutamate synthase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02808;			IPR017896;IPR017900;IPR013785;IPR024188;IPR002932;IPR009051;	mfc:BRM9_0965;mfi:DSM1535_0935;		PF00037;PF12838;PF01645;		WP_048072519.1;		Methanobacterium formicicum	2162
